") for {0}","{0} üçün )"
"From date can not be less than employee's joining date.","Başlanğıc tarixi işçinin işə qəbul tarixindən az ola bilməz."
"To date can not be greater than employee's relieving date.","Bitiş tarixi işçinin işdən çıxma tarixindən böyük ola bilməz."
"Payroll date can not be greater than employee's relieving date.","Maaş tarixi işçinin işdən çıxma tarixindən böyük ola bilməz."
"Condition and formula","Şərt və düstur"
"Available Leaves","Mövcud Məzuniyyətlər"
"IFSC Code","IFSC Kodu"
"Others","Digərləri"
"Total Allocated Leaves","Cəmi Təyin Edilmiş Məzuniyyətlər"
"Used Leaves","İstifadə Olunmuş Məzuniyyətlər"
"PAN Number","PAN Nömrəsi"
"Expired Leaves","Müddəti Bitmiş Məzuniyyətlər"
